"Date","Price","Open","High","Low","Change %"
"Jan 23, 2012","40.247","40.364","40.534","40.141","-0.79%"
"Jan 20, 2012","40.569","40.619","40.661","40.417","-0.11%"
"Jan 19, 2012","40.612","40.406","40.662","40.332","0.47%"
"Jan 18, 2012","40.422","40.260","40.489","40.211","0.34%"
"Jan 17, 2012","40.285","40.101","40.336","40.076","0.40%"
"Jan 16, 2012","40.123","40.253","40.447","40.075","-0.63%"
"Jan 13, 2012","40.377","40.453","40.700","40.319","-0.24%"
"Jan 12, 2012","40.475","40.283","40.542","40.231","0.44%"
"Jan 11, 2012","40.297","40.318","40.520","40.215","-0.11%"
"Jan 10, 2012","40.340","40.682","40.830","40.284","-0.95%"
"Jan 09, 2012","40.725","40.502","40.782","40.416","-0.28%"
"Jan 06, 2012","40.839","40.959","41.134","40.529","-0.31%"
"Jan 05, 2012","40.965","41.169","41.212","40.886","-0.54%"
"Jan 04, 2012","41.189","41.359","41.400","41.060","-0.44%"
"Jan 03, 2012","41.372","41.662","41.812","41.223","-0.69%"
"Jan 02, 2012","41.661","41.666","41.757","41.604","-0.04%"
"Dec 30, 2011","41.677","41.607","41.845","41.482","0.13%"
"Dec 29, 2011","41.621","41.111","41.671","41.038","1.13%"
"Dec 28, 2011","41.157","40.991","41.461","40.972","0.36%"
"Dec 27, 2011","41.008","40.678","41.209","40.562","0.80%"
"Dec 26, 2011","40.683","40.683","40.866","40.581","-0.03%"
"Dec 23, 2011","40.695","40.939","40.985","40.586","-0.50%"
"Dec 22, 2011","40.898","41.380","41.434","40.843","-1.20%"
"Dec 21, 2011","41.394","41.797","41.927","41.313","-1.01%"
"Dec 20, 2011","41.815","41.731","42.090","41.661","0.18%"
"Dec 19, 2011","41.739","41.740","41.841","41.542","0.02%"
"Dec 16, 2011","41.729","41.393","41.758","41.325","0.80%"
"Dec 15, 2011","41.396","41.380","41.517","41.307","0.01%"
"Dec 14, 2011","41.392","41.403","41.509","41.233","-0.09%"
"Dec 13, 2011","41.430","41.734","41.859","41.359","-0.77%"
"Dec 12, 2011","41.752","42.087","42.115","41.644","-0.82%"
"Dec 09, 2011","42.097","41.967","42.232","41.817","0.31%"
"Dec 08, 2011","41.965","41.894","42.121","41.755","0.15%"
"Dec 07, 2011","41.904","42.009","42.077","41.721","-0.22%"
"Dec 06, 2011","41.995","41.365","42.071","41.289","1.42%"
"Dec 05, 2011","41.406","41.338","41.655","41.218","-0.18%"
"Dec 02, 2011","41.480","41.389","41.601","41.249","0.17%"
"Dec 01, 2011","41.410","41.288","41.635","41.264","0.26%"
"Nov 30, 2011","41.302","41.659","42.121","41.212","-0.92%"
"Nov 29, 2011","41.686","41.766","41.997","41.593","-0.21%"
"Nov 28, 2011","41.775","41.980","42.054","41.704","0.07%"
"Nov 25, 2011","41.745","41.978","42.136","41.687","-0.61%"
"Nov 24, 2011","42.000","42.020","42.119","41.836","-0.07%"
"Nov 23, 2011","42.029","41.924","42.159","41.797","0.19%"
"Nov 22, 2011","41.950","42.047","42.107","41.810","-0.29%"
"Nov 21, 2011","42.072","41.685","42.200","41.676","0.86%"
"Nov 18, 2011","41.713","41.538","41.918","41.510","0.27%"
"Nov 17, 2011","41.602","41.324","41.731","41.234","0.61%"
"Nov 16, 2011","41.349","41.484","41.608","41.315","-0.38%"
"Nov 15, 2011","41.505","41.634","41.752","41.423","-0.35%"
"Nov 14, 2011","41.650","41.838","41.874","41.525","-0.28%"
"Nov 11, 2011","41.766","41.537","41.827","41.389","0.50%"
"Nov 10, 2011","41.557","41.469","41.851","41.419","0.15%"
"Nov 09, 2011","41.496","41.799","41.913","41.406","-0.77%"
"Nov 08, 2011","41.818","41.983","42.041","41.596","-0.42%"
"Nov 07, 2011","41.996","42.136","42.200","41.890","-0.24%"
"Nov 04, 2011","42.096","42.095","42.423","41.785","-0.05%"
"Nov 03, 2011","42.116","42.087","42.428","41.833","0.06%"
"Nov 02, 2011","42.089","42.146","42.263","41.932","-0.16%"
"Nov 01, 2011","42.156","41.879","42.407","41.682","0.63%"
"Oct 31, 2011","41.894","42.048","42.349","41.411","-0.39%"
"Oct 28, 2011","42.056","42.418","42.491","42.018","-0.98%"
"Oct 27, 2011","42.472","42.516","42.734","42.226","-0.23%"
"Oct 26, 2011","42.570","42.454","42.691","42.346","0.24%"
"Oct 25, 2011","42.468","42.543","42.587","42.272","-0.17%"
"Oct 24, 2011","42.542","43.110","43.184","42.466","-1.56%"
"Oct 21, 2011","43.217","43.290","43.391","42.976","-0.24%"
"Oct 20, 2011","43.323","42.680","43.354","42.581","1.44%"
"Oct 19, 2011","42.708","42.779","42.974","42.630","-0.23%"
"Oct 18, 2011","42.806","42.483","42.986","42.475","0.66%"
"Oct 17, 2011","42.525","42.849","42.888","42.332","-0.74%"
"Oct 14, 2011","42.841","42.888","43.001","42.633","-0.23%"
"Oct 13, 2011","42.940","42.854","43.104","42.776","0.13%"
"Oct 12, 2011","42.885","43.017","43.066","42.701","-0.33%"
"Oct 11, 2011","43.026","42.982","43.117","42.726","0.03%"
"Oct 10, 2011","43.014","43.036","43.302","42.950","0.03%"
"Oct 07, 2011","43.000","43.399","43.503","42.920","-0.94%"
"Oct 06, 2011","43.406","43.379","43.492","43.061","0.01%"
"Oct 05, 2011","43.402","43.547","43.656","43.222","-0.39%"
"Oct 04, 2011","43.572","43.045","43.630","43.023","1.20%"
"Oct 03, 2011","43.055","42.914","43.537","42.704","-0.09%"
"Sep 30, 2011","43.095","43.356","43.522","43.059","-0.72%"
"Sep 29, 2011","43.409","43.027","43.649","43.005","0.81%"
"Sep 28, 2011","43.060","43.108","43.594","42.993","-0.20%"
"Sep 27, 2011","43.147","43.749","43.849","43.013","-1.45%"
"Sep 26, 2011","43.784","43.359","43.810","42.981","1.00%"
"Sep 23, 2011","43.352","43.256","43.672","43.140","0.15%"
"Sep 22, 2011","43.287","42.687","43.506","42.514","1.41%"
"Sep 21, 2011","42.686","43.032","43.326","42.621","-0.85%"
"Sep 20, 2011","43.054","42.762","43.244","42.509","0.55%"
"Sep 19, 2011","42.819","41.759","42.934","41.683","1.56%"
"Sep 16, 2011","42.160","42.176","42.353","42.017","-0.15%"
"Sep 15, 2011","42.223","41.817","42.258","41.675","0.92%"
"Sep 14, 2011","41.839","41.321","42.013","41.141","1.26%"
"Sep 13, 2011","41.317","41.339","41.582","41.098","-0.10%"
"Sep 12, 2011","41.357","40.922","41.555","40.700","0.41%"
"Sep 09, 2011","41.188","41.217","41.381","40.920","-0.14%"
"Sep 08, 2011","41.247","41.496","41.610","41.186","-0.68%"
"Sep 07, 2011","41.528","41.473","41.707","41.380","0.06%"
"Sep 06, 2011","41.504","41.570","42.157","41.394","-0.14%"
"Sep 05, 2011","41.562","41.243","41.672","41.153","0.28%"
"Sep 02, 2011","41.448","41.331","41.575","41.254","0.25%"
"Sep 01, 2011","41.345","41.472","41.537","41.235","-0.31%"
"Aug 31, 2011","41.472","41.707","41.882","41.413","-0.63%"
"Aug 30, 2011","41.737","41.763","41.940","41.651","-0.11%"
"Aug 29, 2011","41.784","41.744","42.028","41.655","0.05%"
"Aug 26, 2011","41.763","41.789","41.939","40.847","-0.14%"
"Aug 25, 2011","41.820","41.709","41.834","41.468","0.29%"
"Aug 24, 2011","41.697","41.796","41.867","41.603","-0.34%"
"Aug 23, 2011","41.841","41.719","41.994","41.602","0.27%"
"Aug 22, 2011","41.728","41.904","42.102","41.707","-0.77%"
"Aug 19, 2011","42.052","41.681","42.100","41.648","0.77%"
"Aug 18, 2011","41.729","41.467","41.909","41.389","0.53%"
"Aug 17, 2011","41.508","41.305","41.653","41.228","0.41%"
